"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2745177,"November 1, 2023",Texas,Humble,"17258 US-59 N",1,1,0,0,0,N/A
2745324,"November 1, 2023",Georgia,Atlanta,"1683 Lakewood Ave SE",1,0,0,0,0,N/A
2745297,"November 1, 2023",Tennessee,Martin,"5 Hillsboro St",1,0,0,0,1,N/A
2745999,"November 1, 2023",Georgia,Atlanta,"603 Metropolitan Pkwy SW",0,1,0,0,0,N/A
2744806,"November 1, 2023","New Mexico",Albuquerque,"5th St SW and Atlantic Ave SW",1,0,0,0,0,N/A
2745975,"November 1, 2023",Idaho,"Spirit Lake","401 Jefferson St",0,0,1,0,0,N/A
2745103,"November 1, 2023","North Carolina",Greensboro,"3800 block of Maribeau Woods Dr",0,1,0,0,0,N/A
2745101,"November 1, 2023","North Carolina",Greensboro,"6100 block Brushwood Ct",0,1,0,0,0,N/A
2745760,"November 1, 2023",California,"Los Angeles","W 23rd St and Ellendale Pl",1,0,0,0,0,N/A
2745130,"November 1, 2023",Hawaii,Maili,"Hookele St",0,1,0,0,0,N/A
2745109,"November 1, 2023","New York",Rochester,"700 block of Genesee St and Cottage St",0,1,0,0,0,N/A
2745033,"November 1, 2023","North Carolina",Wilmington,"300 block of Calhoun Dr",0,2,0,0,0,N/A
2745908,"November 1, 2023","New York","Niagara Falls","2432 Niagara St",0,1,0,0,0,N/A
2745023,"November 1, 2023",Alabama,Hunstsville,"107 Sanders Rd SW",0,0,0,0,1,N/A
2745898,"November 1, 2023",Wisconsin,Milwaukee,"Capitol Dr and N 26th St",0,2,0,0,0,N/A
2745017,"November 1, 2023",California,"North Highlands","4100 block of Cornelia Way",0,1,0,0,0,N/A
2744888,"November 1, 2023",Oregon,Salem,"1300 block of Vista Ave SE",0,1,1,0,0,N/A
2745098,"November 1, 2023","New York",Brooklyn,"211 E 94th St",1,0,0,0,0,N/A
2745861,"November 1, 2023",Florida,Orlando,"2507 John Young Pkwy",0,1,0,0,0,N/A
2745701,"November 1, 2023",Texas,"Fort Worth","3209 Hemphill St",0,1,0,0,0,N/A
2744933,"November 1, 2023","South Carolina",Conway,"300 Bellamy Ave",0,1,0,0,0,N/A
2744956,"November 1, 2023",Illinois,Chicago,"4300 block of N Kedzie Ave",0,1,0,0,0,N/A
2744952,"November 1, 2023",Illinois,Chicago,"5500 block of N Mont Clare Ave",0,1,0,0,0,N/A
2744821,"November 1, 2023",Illinois,Chicago,"230 W Garfield Blvd",0,2,0,0,0,N/A
2745814,"November 1, 2023",Louisiana,Zachary,"2100 block of Westfield Ave",0,1,0,0,0,N/A
2745778,"November 1, 2023",Louisiana,"Breaux Bridge (Henderson)","2900 block of Grand Point Hwy",1,1,0,0,1,N/A
2744914,"November 1, 2023",Pennsylvania,Homestead,"E 12th Ave",1,1,0,0,0,N/A
2745767,"November 1, 2023",California,"Los Angeles","23527 Calabasas Rd",0,0,1,0,0,N/A
2745800,"November 1, 2023",Texas,Spring,"Aldine Westfield Rd and Trailing Vine Rd",0,1,0,0,0,N/A
2745794,"November 1, 2023",Texas,Houston,"12100 Fondren Rd",0,1,0,0,0,N/A
2744826,"November 1, 2023",Illinois,Chicago,"8322 S Dorchester Ave",2,0,0,0,0,N/A
2744974,"November 1, 2023",California,"Los Angeles","3148 W Pico Blvd",1,0,0,0,0,N/A
2745735,"November 1, 2023",Pennsylvania,Philadelphia,"1800 block of Hart Ln",0,1,0,0,0,N/A
2745253,"November 1, 2023",Pennsylvania,Philadelphia,"5746 Spruce St",0,2,0,0,0,N/A
2745258,"November 1, 2023",Pennsylvania,Philadelphia,"4659 Tacony St",0,1,0,0,0,N/A
2745712,"November 1, 2023",Ohio,Cleveland,"Pasadena Ave and E 105th St",1,1,0,0,0,N/A
2745716,"November 1, 2023",Ohio,Cleveland,"2800 block of Cedar Ave",0,1,0,0,0,N/A
2745696,"November 1, 2023",Louisiana,"New Orleans","7000 block of Lawrence Rd",1,0,0,0,0,N/A
2745450,"November 1, 2023",Louisiana,"New Orleans","8800 block of Nelson St",0,1,0,0,0,N/A
2745694,"November 1, 2023",Louisiana,"New Orleans","Sail St & Curran Blvd",0,1,0,0,0,N/A
2745518,"November 1, 2023",Louisiana,"New Orleans","2300 block of A P Tureaud Ave",0,1,0,0,0,N/A
2745686,"November 1, 2023",Louisiana,Shreveport,"3700 block of Hudson St",0,1,0,0,0,N/A
2745684,"November 1, 2023",Colorado,Pueblo,"1000 block of Cedar St",1,0,0,0,0,N/A
2745681,"November 1, 2023",Texas,Dallas,"3000 block of South Blvd",1,1,0,0,0,N/A
2745678,"November 1, 2023",Indiana,Indianapolis,"10200 block of Aristocrat N Dr",1,0,0,0,1,N/A
2744852,"November 1, 2023",Montana,Billings,"700 block of North 17th St",2,0,0,0,0,N/A
2745652,"November 1, 2023",Indiana,"Swayzee (Sims)","E Howard St and S Washington St",0,0,1,0,0,N/A
2745649,"November 1, 2023",Texas,Porter,"20100 block of Bitter Root Dr",1,0,0,0,0,N/A
2744799,"November 1, 2023",Texas,Dallas,"2300 block of 2nd Ave",0,5,0,0,0,N/A
2744778,"November 1, 2023",Texas,"San Antonio","7400 San Pedro Ave",0,1,0,0,0,N/A
2745626,"November 1, 2023",Illinois,Chicago,"6200 block of S Carpenter St",0,1,0,0,0,N/A
2744754,"November 1, 2023",Colorado,Denver,"1422 S Parker Rd",0,1,0,0,0,N/A
2745405,"November 1, 2023",Ohio,Cincinnati,"N Bend Rd",0,1,0,0,0,N/A
2745171,"November 1, 2023",Illinois,Chicago,"W 120th St and S Parnell Ave",1,0,0,0,0,N/A
2745572,"November 1, 2023",Illinois,Chicago,"7900 block of S Paxton Ave",0,1,0,0,0,N/A
2745471,"November 1, 2023",Massachusetts,Salem,"22 Forest Ave",1,0,0,0,1,N/A
2746277,"November 1, 2023",Virginia,Roanoke,"Staunton Ave NW and 12th St NW",1,0,0,0,0,N/A
2746223,"November 1, 2023",Virginia,Woodbridge,"13989 Jefferson Davis Hwy",0,1,0,0,0,N/A
2745512,"November 1, 2023","District of Columbia",Washington,"4000 Minnesota Ave NE",0,1,0,0,0,N/A
2745506,"November 1, 2023",Louisiana,"New Orleans","2150 S Claiborne Ave",0,1,0,0,0,N/A
2745502,"November 1, 2023","District of Columbia",Washington,"3900 block of Southern Ave SE",1,0,0,0,0,N/A
2745500,"November 1, 2023",Louisiana,"New Orleans","2100 block of Poydras St",0,1,0,0,0,N/A
2746256,"November 1, 2023",Maryland,Rosedale,"6700 Kenwood Ave",0,0,0,0,1,N/A
2745429,"November 1, 2023",Maryland,Odenton,"544 Retreat Ct",1,0,1,0,0,N/A
2746248,"November 1, 2023",Ohio,Columbus,"400 block of Whitethorne Ave",0,1,0,0,0,N/A
2746237,"November 1, 2023",Virginia,Spotsylvania,"N Danford St",0,1,0,0,0,N/A
2745458,"November 1, 2023","North Carolina",Raleigh,"301 Tryon Rd",1,0,0,0,0,N/A
2746225,"November 1, 2023",Virginia,Powhatan,"2000 block of Ballsville Rd",0,2,0,0,1,N/A
2745456,"November 1, 2023",Missouri,"Saint Louis","14th St and Market St",0,1,0,0,0,N/A
2745420,"October 31, 2023",Maryland,Baltimore,"1100 block of Cooks Ln",0,1,1,0,0,N/A
2744595,"October 31, 2023",Kentucky,Covington,"4000 block of Church St",1,0,0,0,1,N/A
2745105,"October 31, 2023",California,Salinas,"301 Chaparral St",0,7,0,0,0,N/A
2744660,"October 31, 2023","North Carolina",Zebulon,"603 W Gannon Ave",0,1,0,0,0,N/A
2744651,"October 31, 2023","North Carolina",Asheville,"60 Lees Creek Rd",0,0,0,0,1,N/A
2744451,"October 31, 2023",California,Montebello,"500 N Garfield Ave",0,0,0,1,1,N/A
2744225,"October 31, 2023","North Carolina","Winston Salem (Winston-salem)","2900 block of Old Greensboro Rd",0,1,0,0,0,N/A
2746112,"October 31, 2023","North Carolina","High Point",N/A,0,1,0,0,0,N/A
2745260,"October 31, 2023",Wisconsin,Janesville,"3125 Mineral Point Ave",0,0,0,0,1,N/A
2744586,"October 31, 2023",Virginia,Fieldale,"10th St",1,0,0,0,0,N/A
2745347,"October 31, 2023",Tennessee,Memphis,"900 block of Creston Ave",0,1,0,0,0,N/A
2745180,"October 31, 2023",Georgia,Monroe,"2150 W Spring St",1,0,0,0,1,N/A
2744593,"October 31, 2023",Indiana,Indianapolis,"5900 block of Guion Rd",1,0,0,0,0,N/A
2745271,"October 31, 2023",Ohio,Toledo,N/A,0,1,0,0,0,N/A
2744560,"October 31, 2023","Rhode Island",Cranston,"25 Queen St",0,1,0,0,1,N/A
2746055,"October 31, 2023",Utah,"Salt Lake City (Cottonwood Heights)","Creekcove Cir",0,0,1,0,0,N/A
2744553,"October 31, 2023",Virginia,Richmond,"1300 N Laburnum Ave",0,1,0,0,0,N/A
2745062,"October 31, 2023","North Carolina",Durham,"3412 Glasson St",1,0,0,0,0,N/A
2745200,"October 31, 2023",Pennsylvania,Pittsburgh,"800 block of Mt Pleasant Rd",0,1,0,0,0,N/A
2744307,"October 31, 2023",Georgia,Atlanta,"170 Piedmont Ave SE",1,0,0,0,1,N/A
2744523,"October 31, 2023","New York",Brooklyn,"530 Barbey St",0,2,0,0,0,N/A
2744971,"October 31, 2023",Utah,Hooper,"6200 W 5700 S",0,1,0,0,1,N/A
2744335,"October 31, 2023",Tennessee,Nashville,"365 Harding Place",1,0,0,0,0,N/A
2744039,"October 31, 2023",Illinois,Chicago,"1309 S Western Ave",0,1,0,0,0,N/A
2744177,"October 31, 2023",Minnesota,Minneapolis,"E Grant St and Park Ave",0,2,0,0,0,N/A
2745175,"October 31, 2023",Texas,Bryan,"San Jacinto Ln",0,1,0,0,0,N/A
2746003,"October 31, 2023","New Mexico",Socorro,"924 South Dr",0,1,0,0,0,N/A
2744051,"October 31, 2023",Illinois,Chicago,"9900 S Ave G",1,0,0,0,0,N/A
2744435,"October 31, 2023",Wisconsin,Milwaukee,"N 20th St and W Burleigh St",0,1,0,0,0,N/A
2745126,"October 31, 2023",California,Oakland,"9967 Medford Ave",1,0,0,0,0,N/A
2744419,"October 31, 2023",Florida,"North Miami Beach (Aventura)","19501 W Country Club Dr",1,0,0,0,0,N/A
2745463,"October 31, 2023",Nevada,"North Las Vegas","6100 block of Shadow Oak Dr",1,0,0,0,0,N/A
2744377,"October 31, 2023","District of Columbia",Washington,"2700 block of Naylor Rd SE",0,1,0,0,0,N/A
2744360,"October 31, 2023",California,Oakland,"Stone St and San Leandro St",1,0,0,0,0,N/A
2744151,"October 31, 2023","South Carolina",Aiken,"600 block of Sundy Ave",1,0,0,0,0,N/A
2745085,"October 31, 2023","North Carolina",Charlotte,"1000 block of Eaglewood Ave",1,0,0,0,0,N/A
2745090,"October 31, 2023","New York","New York (Manhattan)","234 W 44th St",0,1,0,0,5,N/A
2744355,"October 31, 2023",Washington,Tacoma,"1900 Milwaukee Way",1,0,0,0,0,N/A
2744987,"October 31, 2023",Florida,"Fort Lauderdale (Lauderhill)","NW 56th Ave and NW 28th St",1,2,0,0,0,N/A
2745185,"October 31, 2023",Delaware,Newark,"100 block of Alvin Dr",0,3,0,0,0,N/A
2745064,"October 31, 2023","South Carolina",Durham,"S Alston Ave",0,1,0,0,0,N/A
2745041,"October 31, 2023","New York","Corona (Queens)","71st Ave and 162nd St",0,2,0,0,0,N/A
2744682,"October 31, 2023",Minnesota,"Minneapolis (Brooklyn Park)","7200 block of Zane Ave N",1,1,0,0,0,N/A
2745913,"October 31, 2023",Washington,Centralia,"901 Johnson Rd",0,0,0,0,0,N/A
2744309,"October 31, 2023",Louisiana,Lafayette,"W Willow St and N University Ave",1,0,0,0,1,N/A
2744891,"October 31, 2023",Alabama,Montgomery,"4200 block of Knoll Gate Rd",0,0,0,0,1,N/A
2744811,"October 31, 2023",Utah,"Salt Lake City (Millcreek)","4197 S Main St",0,2,0,0,0,N/A
2744210,"October 31, 2023",Michigan,Detroit,"17720 W Warren Ave",1,0,0,0,0,N/A
2744745,"October 31, 2023",Texas,Katy,"3100 block of Upland Spring Tr",1,0,1,0,0,N/A
2744829,"October 31, 2023",Illinois,Chicago,"1723 N Menard Ave",0,1,0,0,0,N/A
2744819,"October 31, 2023",Illinois,Chicago,"1500 block of S Pulaski Rd",0,1,0,0,0,N/A
2744930,"October 31, 2023",California,Fresno,"N Sherman Ave and E San Jose Ave",1,1,0,0,0,N/A
2744876,"October 31, 2023",Pennsylvania,Bensalem,"2636 Bristol Pike",1,2,0,0,0,N/A
2744180,"October 31, 2023",Texas,Keller,"250 College Ave",0,0,0,0,1,N/A
2744901,"October 31, 2023","South Carolina",Abbeville,"Keowee Rd",1,0,0,0,0,N/A
2744680,"October 31, 2023",Minnesota,Minneapolis,"S 4th St and Cedar Ave",0,1,0,0,0,N/A
2744912,"October 31, 2023",Kentucky,"Bowling Green","Shawnee Way",0,1,0,0,0,N/A
2744906,"October 31, 2023",California,Corning,"200 block of Edith Ave",0,1,0,0,0,N/A
2744144,"October 31, 2023",Minnesota,Minneapolis,"2800 block of Emerson Ave S",0,1,0,0,0,N/A
2744060,"October 31, 2023",Alabama,Fosters,"Timbertop Ln",1,0,0,0,1,N/A
2744884,"October 31, 2023",Pennsylvania,Erie,"W 29th St and Cherry St",0,1,0,0,1,N/A
2744874,"October 31, 2023",Texas,"El Paso","8600 block of N Loop Dr",0,1,0,0,0,N/A
2744429,"October 31, 2023",Pennsylvania,Philadelphia,"2800 block of Rosehill St",0,1,0,0,0,N/A
2744865,"October 31, 2023",Pennsylvania,Reading,"Pear St and Windsor St",0,1,0,0,0,N/A
2744856,"October 31, 2023",Nevada,Pahrump,"E Simkins Rd and N Blagg Rd",0,0,0,1,0,N/A
2744833,"October 31, 2023",Arizona,Phoenix,"W Heatherbrae Dr and N 74th Ave",0,1,0,0,0,N/A
2744831,"October 31, 2023",Arizona,Phoenix,"S 18th St and E Raymond St",0,1,0,0,0,N/A
2744797,"October 31, 2023",California,"Pittsburg (Bay Point)","Island View Ct",1,1,0,0,2,N/A
2744854,"October 31, 2023",Montana,Belgrade,"Jackrabbit Ln",1,0,0,0,1,N/A
2744759,"October 31, 2023",Arkansas,"West Memphis","101 E Broadway Blvd St",1,0,0,0,0,N/A
2744788,"October 31, 2023",Ohio,Columbus,"I-70 and Alum Creek Dr",0,1,0,0,0,N/A
2744768,"October 31, 2023",California,"San Jacinto","1400 block of S San Jacinto Ave",0,0,1,0,0,N/A
2744763,"October 31, 2023",Texas,Houston,"1100 block of Woolworth St",0,1,0,0,0,N/A
2744756,"October 31, 2023",Ohio,Cleveland,"19391 St Clair Ave",1,0,0,0,0,N/A
2744752,"October 31, 2023",Texas,Dallas,"10600 block of Casnett Dr",1,0,0,0,0,N/A
2745589,"October 31, 2023",Nebraska,Allen,N/A,0,0,1,0,0,N/A
2744737,"October 31, 2023",California,Lancaster,"44063 Beech Ave",0,1,0,0,0,N/A
2745584,"October 31, 2023",Nebraska,Kimball,"4306 US-30",0,1,0,0,1,N/A
2744057,"October 31, 2023",Illinois,Waukegan,"3080 W 8th St",0,1,0,1,0,N/A
